AGS,Kreis,Kreis_WP,KreisSitz,KreisSitz_WP,Einwohner,Fläche,Karte
08126,Hohenlohekreis,/wiki/Hohenlohekreis,Künzelsau,/wiki/K%C3%BCnzelsau,112655,776.78,//upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Baden-W%C3%BCrttemberg_K%C3%9CN.svg/55px-Baden-W%C3%BCrttemberg_K%C3%9CN.svg.png
03255,Holzminden,/wiki/Landkreis_Holzminden,Holzminden,/wiki/Holzminden,70458,692.65,//upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Lower_Saxony_HOL.svg/71px-Lower_Saxony_HOL.svg.png
05762,Höxter,/wiki/Kreis_H%C3%B6xter,Höxter,/wiki/H%C3%B6xter,140251,1201.42,//upload.wikimedia.org/wikipedia/commons/thumb/d/d5/North_rhine_w_HX.svg/60px-North_rhine_w_HX.svg.png
16070,Ilm-Kreis,/wiki/Ilm-Kreis,Arnstadt,/wiki/Arnstadt,106249,805.12,//upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Thuringia_IK.svg/77px-Thuringia_IK.svg.png
15086,Jerichower Land,/wiki/Landkreis_Jerichower_Land,Burg,/wiki/Burg_(bei_Magdeburg),89589,1576.84,//upload.wikimedia.org/wikipedia/commons/thumb/1/10/Saxony-Anhalt_JL.svg/45px-Saxony-Anhalt_JL.svg.png
07335,Kaiserslautern,/wiki/Landkreis_Kaiserslautern,Kaiserslautern,/wiki/Kaiserslautern,105979,639.88,//upload.wikimedia.org/wikipedia/commons/thumb/d/da/Rhineland-Palatinate_KL_%28rural%29.svg/56px-Rhineland-Palatinate_KL_%28rural%29.svg.png
08215,Karlsruhe,/wiki/Landkreis_Karlsruhe,Karlsruhe,/wiki/Karlsruhe,445101,1084.96,//upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Baden-W%C3%BCrttemberg_KA_%28district%29.svg/55px-Baden-W%C3%BCrttemberg_KA_%28district%29.svg.png
06633,Kassel,/wiki/Landkreis_Kassel,Kassel,/wiki/Kassel,236764,1292.92,//upload.wikimedia.org/wikipedia/commons/thumb/b/be/Hesse_KS_%28district%29.svg/45px-Hesse_KS_%28district%29.svg.png
09273,Kelheim,/wiki/Landkreis_Kelheim,Kelheim,/wiki/Kelheim,123058,1065.97,//upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Bavaria_KEH.svg/60px-Bavaria_KEH.svg.png
09675,Kitzingen,/wiki/Landkreis_Kitzingen,Kitzingen,/wiki/Kitzingen,91155,684.19,//upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Bavaria_KT.svg/60px-Bavaria_KT.svg.png
05154,Kleve,/wiki/Kreis_Kleve,Kleve,/wiki/Kleve,312465,1232.99,//upload.wikimedia.org/wikipedia/commons/thumb/7/75/North_rhine_w_KLE.svg/60px-North_rhine_w_KLE.svg.png
08335,Konstanz,/wiki/Landkreis_Konstanz,Konstanz,/wiki/Konstanz,286305,817.98,//upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Baden-W%C3%BCrttemberg_KN.svg/55px-Baden-W%C3%BCrttemberg_KN.svg.png
09476,Kronach,/wiki/Landkreis_Kronach,Kronach,/wiki/Kronach,66743,651.53,//upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Bavaria_KC.svg/60px-Bavaria_KC.svg.png
09477,Kulmbach,/wiki/Landkreis_Kulmbach,Kulmbach,/wiki/Kulmbach,71566,658.34,//upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Bavaria_KU.svg/60px-Bavaria_KU.svg.png
07336,Kusel,/wiki/Landkreis_Kusel,Kusel,/wiki/Kusel,70219,573.28,//upload.wikimedia.org/wikipedia/commons/thumb/5/56/Rhineland-Palatinate_KUS.svg/56px-Rhineland-Palatinate_KUS.svg.png
